provincia,año,altitud,temp_promedio_anual_C,viento_promedio_anual_ms,precipitacion_total_anual_mm,potencia_solar_media_anual_kw,energia_solar_anual_kwh,viabilidad_solar
Loja,2023,2060,18.69468493150685,2.521835616438356,595.13,2.2857756849315067,20023.395,Alto
Los Ríos,2019,30,23.5093698630137,2.913835616438356,1009.67,1.9994441780821919,17515.131,Medio
Los Ríos,2020,30,23.370382513661202,3.002049180327869,844.4300000000001,2.0705170765027323,18187.422000000002,Alto
Los Ríos,2021,30,22.712273972602738,2.8814246575342466,1258.28,1.9667000000000001,17228.292,Bajo
Los Ríos,2022,30,22.662383561643836,3.0434246575342465,913.54,1.9011109589041097,16653.732,Bajo
Los Ríos,2023,30,23.642821917808217,2.8122465753424657,1326.17,2.024064383561644,17730.804,Medio
Manabí,2019,20,25.05487671232877,4.069150684931507,599.02,2.0502099315068496,17959.839,Medio
Manabí,2020,20,24.8079781420765,4.198934426229508,438.32,2.1301168032786886,18710.946,Alto
Manabí,2021,20,24.270849315068496,4.225671232876712,995.66,1.9795934931506851,17341.239,Bajo
Manabí,2022,20,24.124931506849315,4.4355890410958905,525.36,1.9301260273972605,16907.904000000002,Bajo
Manabí,2023,20,25.916136986301368,4.276767123287671,939.63,2.063682876712329,18077.862,Medio
Morona Santiago,2019,1050,18.813205479452055,1.4305205479452054,2034.8,1.9708078767123287,17264.277000000002,Bajo
Morona Santiago,2020,1050,19.38327868852459,1.4363387978142077,1479.43,2.061632172131148,18109.377,Medio
Morona Santiago,2021,1050,18.790958904109587,1.4452328767123288,2061.6,2.0384380136986304,17856.717,Medio
Morona Santiago,2022,1050,18.654986301369863,1.4485205479452057,2117.39,2.071425,18145.683,Medio
Morona Santiago,2023,1050,19.01638356164384,1.4405479452054792,2603.02,1.989354794520548,17426.748,Bajo
Napo,2019,500,12.824931506849316,2.854958904109589,2348.67,1.8520455479452054,16223.919000000002,Bajo
Napo,2020,500,13.243497267759562,2.937486338797814,1702.2,1.9995085382513664,17563.683,Medio
Napo,2021,500,12.679890410958905,2.7773424657534247,2450.97,1.952468493150685,17103.624,Bajo
Napo,2022,500,12.627150684931506,2.721643835616438,2592.04,2.0220688356164387,17713.323,Medio
Napo,2023,500,13.038109589041095,2.5972054794520547,2974.13,1.9637089041095892,17202.09,Bajo
Orellana,2019,300,24.45994520547945,0.6607671232876713,2667.3,2.082827397260274,18245.568,Alto
Orellana,2020,300,25.385464480874315,0.6748907103825136,1516.76,2.2374921448087433,19654.131,Alto
Orellana,2021,300,24.355643835616437,0.6625205479452054,2333.7,2.1964616438356166,19241.004,Alto
Orellana,2022,300,24.19630136986301,0.6687397260273973,2541.96,2.283991780821918,20007.768,Alto
Orellana,2023,300,24.618219178082192,0.6584383561643836,2579.27,2.198092123287671,19255.287,Alto
Pastaza,2019,950,16.336301369863012,1.9145753424657537,2659.87,1.9846448630136988,17385.489,Bajo
Pastaza,2020,950,16.770683060109288,1.9498360655737705,1902.06,2.0832988387978144,18299.697,Alto
Pastaza,2021,950,16.194301369863012,1.8819726027397259,2704.61,2.004035273972603,17555.349000000002,Medio
Pastaza,2022,950,16.15095890410959,1.8732328767123287,2938.78,2.0540469178082192,17993.451,Medio
Pastaza,2023,950,16.54487671232877,1.841150684931507,3491.3,2.0014095890410957,17532.348,Medio
Pichincha,2019,2850,17.87515068493151,2.128027397260274,1238.66,2.071682191780822,18147.936,Alto
Pichincha,2020,2850,17.801639344262295,2.194562841530055,1149.8700000000001,2.1406799863387977,18803.733,Alto
Pichincha,2021,2850,17.414027397260273,2.183068493150685,1610.91,2.030941095890411,17791.044,Medio
Pichincha,2022,2850,17.185753424657534,2.290027397260274,1268.38,2.0419784246575343,17887.731,Medio
Pichincha,2023,2850,18.113616438356164,2.12813698630137,1433.66,2.0467438356164385,17929.476000000002,Medio
Santa Elena,2019,35,24.800273972602742,4.083917808219178,483.87,2.4439421232876715,21408.933,Alto
Santa Elena,2020,35,24.499153005464482,4.178524590163934,373.84,2.5965946038251366,22808.487,Alto
Santa Elena,2021,35,23.99501369863014,4.193506849315069,688.65,2.3964260273972604,20992.692000000003,Alto
Santa Elena,2022,35,23.763753424657537,4.393287671232876,473.36,2.3039349315068494,20182.47,Alto
Santa Elena,2023,35,25.645917808219178,4.2574794520547945,1087.15,2.550809589041096,22345.092,Alto
Santo Domingo de los Tsáchilas,2019,625,23.539808219178084,2.9541917808219176,1818.78,1.8873256849315068,16532.973,Bajo
Santo Domingo de los Tsáchilas,2020,625,23.42622950819672,2.9756557377049178,1447.3,1.9303056693989071,16955.805,Bajo
Santo Domingo de los Tsáchilas,2021,625,22.91408219178082,2.908082191780822,2091.47,1.8696931506849315,16378.512,Bajo
Santo Domingo de los Tsáchilas,2022,625,22.886767123287672,3.011835616438356,1490.85,1.7775835616438356,15571.632000000001,Bajo
Santo Domingo de los Tsáchilas,2023,625,23.934191780821916,2.8724383561643836,1898.25,1.9574044520547946,17146.863,Bajo
Sucumbíos,2019,300,18.13876712328767,1.408164383561644,1663.21,1.8383979452054795,16104.366000000002,Bajo
Sucumbíos,2020,300,18.707513661202185,1.4566393442622951,1194.02,2.007054986338798,17629.971,Medio
Sucumbíos,2021,300,17.904794520547945,1.377041095890411,1827.1,1.9457119863013699,17044.437,Bajo
Sucumbíos,2022,300,17.77276712328767,1.3947123287671233,1843.3,2.003328082191781,17549.154000000002,Medio
Sucumbíos,2023,300,18.217753424657534,1.3816986301369862,1882.09,1.9386520547945207,16982.592,Bajo
Tungurahua,2019,2650,11.591479452054795,2.52013698630137,1435.73,1.9846448630136988,17385.489,Bajo
Tungurahua,2020,2650,11.901557377049182,2.3480327868852457,1157.29,2.0832988387978144,18299.697,Alto
Tungurahua,2021,2650,11.310794520547944,2.3827397260273973,1748.97,2.004035273972603,17555.349000000002,Medio
Tungurahua,2022,2650,11.222164383561644,2.492931506849315,1458.55,2.0540469178082192,17993.451,Medio
Tungurahua,2023,2650,11.728520547945205,2.4521643835616436,1700.14,2.0014095890410957,17532.348,Medio
Zamora Chinchipe,2019,970,18.125945205479454,2.7607945205479454,694.99,2.2987825342465755,20137.335,Alto
Zamora Chinchipe,2020,970,18.342595628415303,2.437622950819672,592.41,2.4002342896174866,21083.658,Alto
Zamora Chinchipe,2021,970,17.71539726027397,2.367616438356164,855.7,2.332975684931507,20436.867000000002,Alto
Zamora Chinchipe,2022,970,17.60904109589041,2.398931506849315,685.08,2.3613818493150687,20685.705,Alto
Zamora Chinchipe,2023,970,18.69468493150685,2.521835616438356,595.13,2.2857756849315067,20023.395,Alto
